content,score,text_clean,text_stopword,text_slang,text_no_stopwords
"Pengiriman buruk dan lama banget ,sering nyasar juga Beda ama toko sebelah",1,pengiriman buruk dan lama banget sering nyasar juga beda ama toko sebelah,pengiriman buruk banget nyasar beda ama toko sebelah,pengiriman buruk banget nyasar beda sama toko sebelah,pengiriman buruk banget nyasar beda toko sebelah
ok.,5,ok,ok,ok,ok
sering2 aja diskon kya gini 😁,5,sering aja diskon kya gini ,aja diskon kya gini,saja diskon kaya begini,diskon kaya
Jgn pernah instal apk ini sangat jelek saya sangat kecewa sama toko pedia,1,jgn pernah instal apk ini sangat jelek saya sangat kecewa sama toko pedia,jgn instal apk jelek kecewa toko pedia,jangan instal apk jelek kecewa toko pedia,instal apk jelek kecewa toko pedia
Bagus tapi selalu upgrade,5,bagus tapi selalu upgrade,bagus upgrade,bagus upgrade,bagus upgrade
"pengiriman lama, di komplain feedback nya lama dan waktu investogasi harus nunggu 7 hari",1,pengiriman lama di komplain feedback nya lama dan waktu investogasi harus nunggu  hari,pengiriman komplain feedback nya investogasi nunggu,pengiriman komplain feedback nya investogasi menunggu,pengiriman komplain feedback nya investogasi menunggu
"Sebagai pengguna baru saya merasa kecewa, karena akun saya dinilai manipulatif gara"" minta tolong transfer untuk pembayaran ke saudara saya. Salah saya dimana? Sehingga pemesanan sana di batalkan",1,sebagai pengguna baru saya merasa kecewa karena akun saya dinilai manipulatif gara minta tolong transfer untuk pembayaran ke saudara saya salah saya dimana sehingga pemesanan sana di batalkan,pengguna kecewa akun dinilai manipulatif gara tolong transfer pembayaran saudara salah dimana pemesanan batalkan,pengguna kecewa akun dinilai manipulatif gara tolong transfer pembayaran saudara salah dimana pemesanan batalkan,pengguna kecewa akun dinilai manipulatif gara tolong transfer pembayaran saudara salah dimana pemesanan batalkan
selalu dapat diskon belanja d Tokopedia 😍,5,selalu dapat diskon belanja d tokopedia ,diskon belanja d tokopedia,diskon belanja di tokopedia,diskon belanja tokopedia
sangat puas,5,sangat puas,puas,puas,puas
mantap,5,mantap,mantap,mantap,mantap
komisi affiliate sering ga masuk padahal pembeli udah menyelesaikan pembeliannya,2,komisi affiliate sering ga masuk padahal pembeli udah menyelesaikan pembeliannya,komisi affiliate ga masuk pembeli udah menyelesaikan pembeliannya,komisi affiliate enggak masuk pembeli sudah menyelesaikan pembeliannya,komisi affiliate masuk pembeli menyelesaikan pembeliannya
tidak jelas,1,tidak jelas,,,
buat Tokopedia saran saya mending hapus jne dari kurir rekomendasi banyak paket yang tertahan gajelas bisa sampe 1 bulan,1,buat tokopedia saran saya mending hapus jne dari kurir rekomendasi banyak paket yang tertahan gajelas bisa sampe  bulan,tokopedia saran mending hapus jne kurir rekomendasi paket tertahan gajelas sampe,tokopedia saran mending hapus jne kurir rekomendasi paket tertahan enggak jelas sampai,tokopedia saran mending hapus jne kurir rekomendasi paket tertahan
toko yg super lengkap dan terjamin ke aslian nya...terimakasih tokopedia,5,toko yg super lengkap dan terjamin ke aslian nyaterimakasih tokopedia,toko yg super lengkap terjamin aslian nyaterimakasih tokopedia,toko yang super lengkap terjamin aslian nyaterimakasih tokopedia,toko super lengkap terjamin aslian nyaterimakasih tokopedia
Baru mau pake.. Pas liat komentar disini.. Ngeri semua.. Pada bintang 1 semua.. Alamat deh.. Apus aplikasi.,1,baru mau pake pas liat komentar disini ngeri semua pada bintang  semua alamat deh apus aplikasi,pake pas liat komentar ngeri bintang alamat deh apus aplikasi,pakai pas lihat komentar ngeri bintang alamat deh hapus aplikasi,pakai pas lihat komentar ngeri bintang alamat deh hapus aplikasi
masih banyak aplikasi lain yg lebih bagus,1,masih banyak aplikasi lain yg lebih bagus,aplikasi yg bagus,aplikasi yang bagus,aplikasi bagus
Aplikasi yang membantu penjual dan pembeli👍,5,aplikasi yang membantu penjual dan pembeli,aplikasi membantu penjual pembeli,aplikasi membantu penjual pembeli,aplikasi membantu penjual pembeli
Aplikasi tipu2...dua kali beli uang udah di tranfer di kemblaikan alasan penjual tidak merespon uang di bekukan di saldo tokopedia dan tak bisa di gunakan...cok nan,1,aplikasi tipudua kali beli uang udah di tranfer di kemblaikan alasan penjual tidak merespon uang di bekukan di saldo tokopedia dan tak bisa di gunakancok nan,aplikasi tipudua kali beli uang udah tranfer kemblaikan alasan penjual merespon uang bekukan saldo tokopedia gunakancok nan,aplikasi tipudua kali beli uang sudah tranfer kemblaikan alasan penjual merespon uang bekukan saldo tokopedia gunakancok nan,aplikasi tipudua kali beli uang tranfer kemblaikan alasan penjual merespon uang bekukan saldo tokopedia gunakancok nan
vocer hoax gak bisa di pake promo pengguna baru tidak bisa di pake,1,vocer hoax gak bisa di pake promo pengguna baru tidak bisa di pake,vocer hoax gak pake promo pengguna pake,vocer hoax enggak pakai promo pengguna pakai,vocer hoax pakai promo pengguna pakai
smg makin terpercaya dan amanah.. serta ada sanksi tegas buat online store nakal,4,smg makin terpercaya dan amanah serta ada sanksi tegas buat online store nakal,smg terpercaya amanah sanksi online store nakal,semoga terpercaya amanah sanksi online store nakal,semoga terpercaya amanah sanksi online store nakal
"Lama banget pesanan sampaiii, jadi bikin kapok",1,lama banget pesanan sampaiii jadi bikin kapok,banget pesanan sampaiii bikin kapok,banget pesanan sampaiii bikin kapok,banget pesanan sampaiii bikin kapok
"Khusus buat kurir, kalau niat kerja yaa kerja jangan cuman ada duitnya aja",1,khusus buat kurir kalau niat kerja yaa kerja jangan cuman ada duitnya aja,khusus kurir niat kerja yaa kerja cuman duitnya aja,khusus kurir niat kerja ya kerja cuman duitnya saja,khusus kurir niat kerja ya kerja cuman duitnya
"tidak bisa chat dgn cs ketika pesanan. katanya Costumer Servis Winning Award. tapi kalah ama aplikasi shopee. pengecekan di web jne nya juga tidak terdaftar paket saya, harus di tokped. tapi tokped ya tidak jelas. saya tidak menemukan solusi",1,tidak bisa chat dgn cs ketika pesanan katanya costumer servis winning award tapi kalah ama aplikasi shopee pengecekan di web jne nya juga tidak terdaftar paket saya harus di tokped tapi tokped ya tidak jelas saya tidak menemukan solusi,chat dgn cs pesanan costumer servis winning award kalah ama aplikasi shopee pengecekan web jne nya terdaftar paket tokped tokped ya menemukan solusi,chat dengan cs pesanan costumer servis winning award kalah sama aplikasi shopee pengecekan web jne nya terdaftar paket tokped tokped ya menemukan solusi,chat cs pesanan costumer servis winning award kalah aplikasi shopee pengecekan web jne nya terdaftar paket tokped tokped ya menemukan solusi
"VOC SPESIAL UNTUK KAMU KAN ADA TIAP BULAN, BULAN INI SAYA BELUM PAKE, TP KOK GA BISA DIPAKE? KETERANGANNYA PROMO TDK BISA DIPAKE?! PADAHAL SAYA CUMA ADA SATU AKUN ITU LOH DI HP GA PERNAH GABUNG² AKUN LAIN, BIASANYA BISA, NAH BULAN INI GABISA? PERBAIKI WOII JANGAN VOCNYA CUMA IMING² BIAR LARIS DOANG! YG JELAS SAYA GAADA PELANGGARAN APAPUN YA! AKUN CUMA SATU & MAKE VOC SPESIAL UNTUK KAMU ITU UDH BUKAN YG PERTAMA KALINYA, KARENA TIAP BULAN ITU ADA & SELALU BISA, KALI INI GA BISA.",1,voc spesial untuk kamu kan ada tiap bulan bulan ini saya belum pake tp kok ga bisa dipake keterangannya promo tdk bisa dipake padahal saya cuma ada satu akun itu loh di hp ga pernah gabung akun lain biasanya bisa nah bulan ini gabisa perbaiki woii jangan vocnya cuma iming biar laris doang yg jelas saya gaada pelanggaran apapun ya akun cuma satu  make voc spesial untuk kamu itu udh bukan yg pertama kalinya karena tiap bulan itu ada  selalu bisa kali ini ga bisa,voc spesial pake tp ga dipake keterangannya promo tdk dipake akun loh hp ga gabung akun gabisa perbaiki woii vocnya iming biar laris doang yg gaada pelanggaran apapun ya akun make voc spesial udh yg kalinya kali ga,voc spesial pakai tapi enggak dipakai keterangannya promo tidak dipakai akun loh hp enggak gabung akun enggak bisa perbaiki woii vocnya iming biar laris doang yang enggak ada pelanggaran apapun ya akun memakai voc spesial sudah yang kalinya kali enggak,voc spesial pakai dipakai keterangannya promo dipakai akun loh hp gabung akun perbaiki woii vocnya iming biar laris doang pelanggaran apapun ya akun memakai voc spesial kalinya kali
"Banyak yg tdk bisa COD, dan ketika mau memberi ulasan atas barang yg di beli tdk bisa.",3,banyak yg tdk bisa cod dan ketika mau memberi ulasan atas barang yg di beli tdk bisa,yg tdk cod ulasan barang yg beli tdk,yang tidak cod ulasan barang yang beli tidak,cod ulasan barang beli
manteppp... banyak diskon,5,manteppp banyak diskon,manteppp diskon,mantap diskon,mantap diskon
sangat bagus,5,sangat bagus,bagus,bagus,bagus
"tokopedia emang mantep,khusus pembelian pertama aj diskonnya gde bgt,sukses selalu tokopedia",5,tokopedia emang mantepkhusus pembelian pertama aj diskonnya gde bgtsukses selalu tokopedia,tokopedia emang mantepkhusus pembelian aj diskonnya gde bgtsukses tokopedia,tokopedia memang mantepkhusus pembelian saja diskonnya gede bgtsukses tokopedia,tokopedia mantepkhusus pembelian diskonnya gede bgtsukses tokopedia
kerennn diskon gede byk disiniii,5,kerennn diskon gede byk disiniii,kerennn diskon gede byk disiniii,keren diskon gede banyak disini,keren diskon gede
👍👍,5,,,,
sukses selalu,5,sukses selalu,sukses,sukses,sukses
Tokopedia belanja online super keren 🔥 juga oke.,5,tokopedia belanja online super keren  juga oke,tokopedia belanja online super keren oke,tokopedia belanja online super keren oke,tokopedia belanja online super keren oke
YUK BISA BANGKRUT YU,1,yuk bisa bangkrut yu,yuk bangkrut yu,yuk bangkrut yuk,yuk bangkrut yuk
Tidak bisa check out,1,tidak bisa check out,check out,check out,check out
"gajelass. kurir belum sampe/chat tapi konfirmasi paket nya di retur alsan nya ""penerima tidak merasa memesan"", padahal payment via e-wallet",1,gajelass kurir belum sampechat tapi konfirmasi paket nya di retur alsan nya penerima tidak merasa memesan padahal payment via ewallet,gajelass kurir sampechat konfirmasi paket nya retur alsan nya penerima memesan payment via ewallet,gajelass kurir sampechat konfirmasi paket nya retur alsan nya penerima memesan payment via ewallet,gajelass kurir sampechat konfirmasi paket nya retur alsan nya penerima memesan payment via ewallet
Sangat Bermanfaat,5,sangat bermanfaat,bermanfaat,bermanfaat,bermanfaat
toko pedia memberikan banyak promo yang membuat kita bisa lebih hemat dalam belanja. terima kasih tokopedia🙏🙏,5,toko pedia memberikan banyak promo yang membuat kita bisa lebih hemat dalam belanja terima kasih tokopedia,toko pedia promo hemat belanja terima kasih tokopedia,toko pedia promo hemat belanja terima kasih tokopedia,toko pedia promo hemat belanja terima kasih tokopedia
"beli paket gak ada yang sampe, mending pake shopee",1,beli paket gak ada yang sampe mending pake shopee,beli paket gak sampe mending pake shopee,beli paket enggak sampai mending pakai shopee,beli paket mending pakai shopee
Ngeri belan ja di sini..penanganan retur barang lama dan ga jelas kepastian dana kembali...dan admin kurang respon seperti boot.sangat mengerikan,1,ngeri belan ja di sinipenanganan retur barang lama dan ga jelas kepastian dana kembalidan admin kurang respon seperti bootsangat mengerikan,ngeri belan ja sinipenanganan retur barang ga kepastian dana kembalidan admin respon bootsangat mengerikan,ngeri belan saja sinipenanganan retur barang enggak kepastian dana kembalidan admin respon bootsangat mengerikan,ngeri belan sinipenanganan retur barang kepastian dana kembalidan admin respon bootsangat mengerikan
Aplikasi yang merugikan seller. Jgn mau jualan di sini,1,aplikasi yang merugikan seller jgn mau jualan di sini,aplikasi merugikan seller jgn jualan,aplikasi merugikan seller jangan jualan,aplikasi merugikan seller jualan
Tiap buka fitur selalu download gagal,1,tiap buka fitur selalu download gagal,buka fitur download gagal,buka fitur download gagal,buka fitur download gagal
cakep,5,cakep,cakep,cakep,cakep
good,5,good,good,good,good
Pliss tahun baru nanti ada kan promo 🙏🙏,5,pliss tahun baru nanti ada kan promo ,pliss promo,pliss promo,pliss promo
mantap,5,mantap,mantap,mantap,mantap
"Parahlah kurir rekomendasi tokopedia gk ada yg bener ngaco semua, salah satu alasan yg bikin berpaling ke toko sebelah gratis ongkir pun pengirimannya optimal dan cepat.",5,parahlah kurir rekomendasi tokopedia gk ada yg bener ngaco semua salah satu alasan yg bikin berpaling ke toko sebelah gratis ongkir pun pengirimannya optimal dan cepat,parahlah kurir rekomendasi tokopedia gk yg bener ngaco salah alasan yg bikin berpaling toko sebelah gratis ongkir pengirimannya optimal cepat,parahlah kurir rekomendasi tokopedia enggak yang benar mengaco salah alasan yang bikin berpaling toko sebelah gratis ongkir pengirimannya optimal cepat,parahlah kurir rekomendasi tokopedia mengaco salah alasan bikin berpaling toko sebelah gratis ongkir pengirimannya optimal cepat
sangat ok,5,sangat ok,ok,ok,ok
"lebih suka belanja di sini, sudah dari dulu",5,lebih suka belanja di sini sudah dari dulu,suka belanja,suka belanja,suka belanja
mantap,5,mantap,mantap,mantap,mantap
"ok banget,terima kasih tokped",5,ok bangetterima kasih tokped,ok bangetterima kasih tokped,ok bangetterima kasih tokped,ok bangetterima kasih tokped
"Pengiriman lama sekali & sudah 7 hari, tetapi tidak bisa ajukan komplain lalu apa fungsi tombol komplain.",1,pengiriman lama sekali  sudah  hari tetapi tidak bisa ajukan komplain lalu apa fungsi tombol komplain,pengiriman ajukan komplain fungsi tombol komplain,pengiriman ajukan komplain fungsi tombol komplain,pengiriman ajukan komplain fungsi tombol komplain
mantap tokopedia,4,mantap tokopedia,mantap tokopedia,mantap tokopedia,mantap tokopedia
Its a fake..promo stlh di klik gk berlaku.. its a fake,1,its a fakepromo stlh di klik gk berlaku its a fake,its a fakepromo stlh klik gk berlaku its a fake,its a fakepromo setelah klik enggak berlaku its a fake,its a fakepromo klik berlaku its a fake
oke,5,oke,oke,oke,oke
Istimewa,5,istimewa,istimewa,istimewa,istimewa
semua memang mudah hati hati dengan penipuan kontak langsung dgn media wa,5,semua memang mudah hati hati dengan penipuan kontak langsung dgn media wa,mudah hati hati penipuan kontak langsung dgn media wa,mudah hati hati penipuan kontak langsung dengan media wa,mudah hati hati penipuan kontak langsung media wa
Voucher tidak bisa digunakan,1,voucher tidak bisa digunakan,voucher,voucher,voucher
"barang blm sampai"".. penangangan lambat.. parah banget ini aplikasi.. gak ada kejelasan lg.. tutup aja",1,barang blm sampai penangangan lambat parah banget ini aplikasi gak ada kejelasan lg tutup aja,barang blm penangangan lambat parah banget aplikasi gak kejelasan lg tutup aja,barang belum penangangan lambat parah banget aplikasi enggak kejelasan lagi tutup saja,barang penangangan lambat parah banget aplikasi kejelasan tutup
Saldo sy 150.000 di aplikasi ini tdk bisa di gunakan.,5,saldo sy  di aplikasi ini tdk bisa di gunakan,saldo sy aplikasi tdk,saldo saya aplikasi tidak,saldo aplikasi
"Aplikasi force close terus, dinstal ulang aplikasinya pun tetap sama. Aplikasinya error ketika masuk ke sesi pembayaran saja. Ditambah ada asuransi pengiriman, di toko sebelah gak pake gituan, karena sudah include. Ya kali sudah bayar ongkir tapi gak dapat perlindungan kehilangan. Di toko sebelah gak pake asuransi pun barang hilang tetap diganti. Aneh tokopedia, nambah2in pengeluaran aja.",1,aplikasi force close terus dinstal ulang aplikasinya pun tetap sama aplikasinya error ketika masuk ke sesi pembayaran saja ditambah ada asuransi pengiriman di toko sebelah gak pake gituan karena sudah include ya kali sudah bayar ongkir tapi gak dapat perlindungan kehilangan di toko sebelah gak pake asuransi pun barang hilang tetap diganti aneh tokopedia nambahin pengeluaran aja,aplikasi force close dinstal ulang aplikasinya aplikasinya error masuk sesi pembayaran ditambah asuransi pengiriman toko sebelah gak pake gituan include ya kali bayar ongkir gak perlindungan kehilangan toko sebelah gak pake asuransi barang hilang diganti aneh tokopedia nambahin pengeluaran aja,aplikasi force close dinstal ulang aplikasinya aplikasinya error masuk sesi pembayaran ditambah asuransi pengiriman toko sebelah enggak pakai begituan include ya kali bayar ongkir enggak perlindungan kehilangan toko sebelah enggak pakai asuransi barang hilang diganti aneh tokopedia nambahin pengeluaran saja,aplikasi force close dinstal ulang aplikasinya aplikasinya error masuk sesi pembayaran ditambah asuransi pengiriman toko sebelah pakai begituan include ya kali bayar ongkir perlindungan kehilangan toko sebelah pakai asuransi barang hilang diganti aneh tokopedia nambahin pengeluaran
